team,kenpom,seed
Auburn,4,1
Alabama St,275,16
Louisville,23,8
Creighton,36,9
Michigan,25,5
UC San Diego,37,12
Texas A&M,17,4
Yale,73,13
Mississippi,26,6
North Carolina,30,11
Iowa St,10,3
Lipscomb,82,14
Marquette,28,7
New Mexico,43,10
Michigan St,8,2
Bryant,148,15
Florida,2,1
Norfolk St,180,16
Connecticut,35,8
Oklahoma,38,9
Memphis,50,5
Colorado St,44,12
Maryland,11,4
Grand Canyon,92,13
Missouri,15,6
Drake,58,11
Texas Tech,7,3
UNC Wilmington,106,14
Kansas,21,7
Arkansas,40,10
St. John's,12,2
Nebraska Omaha,157,15
Duke,1,1
Mount Saint Mary's,238,16
Mississippi St,32,8
Baylor,29,9
Oregon,33,5
Liberty,60,12
Arizona,14,4
Akron,97,13
BYU,24,6
VCU,31,11
Wisconsin,13,3
Montana,161,14
Saint Mary's,22,7
Vanderbilt,48,10
Alabama,6,2
Robert Morris,138,15
Houston,3,1
SIUE,215,16
Gonzaga,9,8
Georgia,34,9
Clemson,18,5
McNeese,59,12
Purdue,19,4
High Point,84,13
Illinois,20,6
Xavier,41,11
Kentucky,16,3
Troy,93,14
UCLA,27,7
Utah St,54,10
Tennessee,5,2
Wofford,118,15
